title,url,published_at,label,name,description,location,website
"Diversified Healthcare Trust: Diversified Healthcare Trust First Quarter 2021 Conference Call Scheduled for Thursday, May 6th",https://www.dhcreit.com/news/press-release-details/2021/Diversified-Healthcare-Trust-First-Quarter-2021-Conference-Call-Scheduled-for-Thursday-May-6th/default.aspx,2021-04-08 12:01:45.346207,CALENDAR,Diversified Healthcare Trust,Healthcare Real Estate Investment Trust,United States,https://www.dhcreit.com/home/default.aspx
"Nathan's Famous: Nathan's Famous, Inc. Reports Second Quarter Results",https://nathansfamous.gcs-web.com/news-releases/news-release-details/nathans-famous-inc-reports-second-quarter-results-18,2021-11-05 12:34:06.248918,RESULTS,Nathan's Famous,Operates a chain of fast food restaurants,United States,https://www.nathansfamous.com/
"Dufry: Dufry wins new, ten-year duty-free contract at Martinique International Airport",https://www.dufry.com/en/press_release/2021-06-10/dufry-wins-new-ten-year-duty-free-contract-martinique-international,2021-06-10 05:04:55.296493,PRESS RELEASE,Dufry,Travel retailer,Switzerland,http://www.dufry.com/
Ocado: Trading Statement,http://www.londonstockexchange.com/exchange/news/market-news/market-news-detail/OCDO/13901845.html,2018-12-13 07:02:16.113445,RESULTS,Ocado Ltd.,Online supermarket,United Kingdom,https://www.ocado.com/
Adler Group: Major Adler shareholder Aggregate has been pitching distressed debt funds as it seeks new financing (Twitter),https://twitter.com/JackSidders/status/1456301304008122368,2021-11-04 17:29:14.640525,PRESS RELEASE,Adler Group,Owns a portfolio of commercial and residential properties,Germany,https://www.ado.properties/websites/ado/English/1000/ado-_-investor-relations.html
Preem: Lina Stolpe appointed new CFO in Preem,https://www.preem.com/in-english/investors/corral/cisionsida/?id=F70C6E6EC90DC36D,2019-03-18 10:30:25.457146,PRESS RELEASE,Preem,Fuel company,Sweden,https://www.preem.se/
"GEO Group: Shareholder Alert: Robbins LLP is Investigating The GEO Group, Inc. (GEO) for Shareholders",https://www.businesswire.com/news/home/20210603005965/en/Shareholder-Alert-Robbins-LLP-is-Investigating-The-GEO-Group-Inc.-GEO-for-Shareholders,2021-06-03 20:09:06.366826,PRESS RELEASE,GEO Group,Operates private correctional facilities,United States,https://www.geogroup.com/
Together: Together Financial Services Q1 Results,https://www.londonstockexchange.com/exchange/news/market-news/market-news-detail/other/14326823.html,2019-11-28 08:47:47.399076,RESULTS,Together,Provider of personal and business secured loans,United Kingdom,https://togethermoney.com/
"Scientific Games: Scientific Games Celebrates Instant Game Production Expansion To Serve UK, European And International Lotteries",https://scientificgames.gcs-web.com/news-releases/news-release-details/scientific-games-celebrates-instant-game-production-expansion,2021-09-27 13:11:10.62499,PRESS RELEASE,Scientific Games,Developer of technology-based products and services and associated content for worldwide gaming and lottery markets,United States,http://www.scientificgames.com/
ASGN Incorporated: ECS Awarded $28.8 Million USMC IT Service and Support Contract,https://investors.asgn.com/news/news-details/2020/ECS-Awarded-28.8-Million-USMC-IT-Service-and-Support-Contract/default.aspx,2020-12-17 17:28:01.953982,PRESS RELEASE,ASGN Incorporated,"IT and professional service provider in the technology, digital, engineering, and life sciences fields",United States,https://www.asgn.com/
B&G Foods: B&G Foods Selects Kenneth C. “Casey” Keller as its Next President and CEO,https://bgfoods.com/investor-relations/news/article/14091,2021-05-11 20:15:48.17804,PRESS RELEASE,B&G Foods,"Manufactures, sells, and distributes shelf-stable foods",United States,https://www.bgfoods.com/
"Sallie Mae: Sallie Mae Offers Tips, Free Resources to Help Families Complete the FAFSA®",https://www.businesswire.com/news/home/20210920005728/en/Sallie-Mae-Offers-Tips-Free-Resources-to-Help-Families-Complete-the-FAFSA%C2%AE,2021-09-21 08:24:00.950529,PRESS RELEASE,Sallie Mae,Retail bank with a specialism in private student loans,United States,https://www.salliemae.com/
Houghton Mifflin Harcourt: Houghton Mifflin Harcourt Enters Into Definitive Agreement to Divest HMH Books & Media Consumer Publishing Business for $349 Million,https://www.prnewswire.com/news-releases/houghton-mifflin-harcourt-enters-into-definitive-agreement-to-divest-hmh-books--media-consumer-publishing-business-for-349-million-301257298.html,2021-03-29 11:05:59.742452,PRESS RELEASE,Houghton Mifflin Harcourt,Operates as a global education and learning company,United States,https://www.hmhco.com/
Arrow: FY 2020 Results Presentation,https://www.arrowglobal.net/content/dam/arrowglobal/corporate/Documents/Investors/Results-reports-presentations/2021/Prelimary%20results%202020%20presentation.pdf.downloadasset.pdf,2021-03-23 07:01:18.47646,RESULTS,Arrow,Debt purchaser,United Kingdom,http://www.arrowglobal.net/
"Bilfinger: Bilfinger supports Clariant in building first-of-a-kind advanced biofuels plant in Podari, Romania - Bilfinger SE",http://www.bilfinger.com/en/media/news/bilfinger-supports-clariant-in-building-first-of-a-kind-advanced-biofuels-plant-in-podari-romania/,2021-01-19 10:03:32.257219,PRESS RELEASE,Bilfinger,Leading international industrial services provider,Germany,http://www.bilfinger.com/en/
Hellenic Telecommunications Organization: OTE Group Reports 2019 Third Quarter Results ,https://www.cosmote.gr/otegroup_company/investor_relations/newsroom/en/2019/OTE_Q3_2019_ENG_RESULTS.pdf,2019-11-07 09:05:18.647073,RESULTS,Hellenic Telecommunications Organization,Telecommunications provider,Greece,http://ote.gr
Sector Alarm: Report,https://www.sectoralarm.com/media/05chpge1/q3-2020-quarterly-report.pdf,2020-11-19 17:13:06.844695,RESULTS,Sector Alarm,Nordic security company offering alarm and remote monitoring systems,Norway,https://www.sectoralarm.com/
